Interest rate,GDP growth,Inflation,Volume,FX rate,In,Index
0.4,3.062183939,5.1,28367739900,0.7187,19.3006993,7455.2
0.7,3.11082076,6.1,31582088400,0.6889,8.863171523,6746.5
1.2,3.11082076,6.1,22260986200,0.7007,17.09937332,7173.8
1.3,3.11082076,6.1,26956356700,0.6902,13.62269016,7226.1
1.5,5.988289244,7.3,27833281700,0.6502,11.20906801,6678.7
2.7,5.988289244,7.3,22694421200,0.642,10.69473684,7054.8
2.85,5.988289244,7.3,20340647800,0.6698,8.931623932,7221.7
2.85,2.621399914,7.8,18169881200,0.6775,6.843455945,7686.1
2.9,2.621399914,7.8,21901662400,0.7037,6.607369759,7458
3.15,2.621399914,7.8,28163290600,0.673,8.097849009,7373.3
3.2,2.267040897,7,19059481900,0.6712,7.548734965,7501
3.2,2.267040897,7,19059481900,0.661,5.818181818,7501
3.25,2.267040897,7,24459012200,0.6495,5.27150218,7273.5
3.35,2.267040897,7,23893878300,0.663,5.861664713,7401.5
3.6,2.267040897,7,19982906600,0.6682,8.949895449,7622.2
